<green>2023-07-23 16:58:39</green> | <yellow>Start </yellow> <yellow>nbqa</yellow> proposed_plot.ipynb
<green>2023-07-23 16:58:39</green> | <yellow>Start </yellow> <yellow>nbqa</yellow> 23-07-11T12_single_bubble.ipynb
<green>2023-07-23 16:58:39</green> | <yellow>Start </yellow> <yellow>nbqa</yellow> 23-07-11T15_multi_bubble.ipynb
<green>2023-07-23 16:58:39</green> | <yellow>Start </yellow> <yellow>nbqa</yellow> 23-07-11T16_broader_search.ipynb
<green>2023-07-23 16:58:39</green> | <yellow>Start </yellow> <yellow>nbqa</yellow> 23-07-13T14_full_frame.ipynb
<green>2023-07-23 16:58:39</green> | <yellow>Start </yellow> <yellow>nbqa</yellow> 23-07-13T14_full_video.ipynb
<green>2023-07-23 16:58:41</green> | <green>Finish</green> <yellow>nbqa</yellow> proposed_plot.ipynb: All done! \u2728 \U0001f370 \u...
<green>2023-07-23 16:58:41</green> | <yellow>Start </yellow> <yellow>nbqa</yellow> proposed_plot.ipynb
<green>2023-07-23 16:58:41</green> | <green>Finish</green> <yellow>nbqa</yellow> 23-07-11T15_multi_bubble.ipynb: All done! \u2728 \U0001f370 \u...
<green>2023-07-23 16:58:41</green> | <yellow>Start </yellow> <yellow>nbqa</yellow> 23-07-11T15_multi_bubble.ipynb
<green>2023-07-23 16:58:41</green> | <green>Finish</green> <yellow>nbqa</yellow> 23-07-13T14_full_frame.ipynb: All done! \u2728 \U0001f370 \u...
<green>2023-07-23 16:58:41</green> | <yellow>Start </yellow> <yellow>nbqa</yellow> 23-07-13T14_full_frame.ipynb
<green>2023-07-23 16:58:41</green> | <green>Finish</green> <yellow>nbqa</yellow> 23-07-11T16_broader_search.ipynb: All done! \u2728 \U0001f370 \u...
<green>2023-07-23 16:58:41</green> | <yellow>Start </yellow> <yellow>nbqa</yellow> 23-07-11T16_broader_search.ipynb
<green>2023-07-23 16:58:42</green> | <green>Finish</green> <yellow>nbqa</yellow> 23-07-11T12_single_bubble.ipynb: All done! \u2728 \U0001f370 \u...
<green>2023-07-23 16:58:42</green> | <yellow>Start </yellow> <yellow>nbqa</yellow> 23-07-11T12_single_bubble.ipynb
<green>2023-07-23 16:58:42</green> | <green>Finish</green> <yellow>nbqa</yellow> 23-07-13T14_full_video.ipynb: All done! \u2728 \U0001f370 \u...
<green>2023-07-23 16:58:42</green> | <yellow>Start </yellow> <yellow>nbqa</yellow> 23-07-13T14_full_video.ipynb
<green>2023-07-23 16:58:43</green> | <green>Finish</green> <yellow>nbqa</yellow> proposed_plot.ipynb
<green>2023-07-23 16:58:43</green> | <yellow>Start </yellow> <magenta>nb-clean</magenta> proposed_plot.ipynb
<green>2023-07-23 16:58:43</green> | <green>Finish</green> <yellow>nbqa</yellow> 23-07-13T14_full_frame.ipynb
<green>2023-07-23 16:58:43</green> | <yellow>Start </yellow> <magenta>nb-clean</magenta> 23-07-13T14_full_frame.ipynb
<green>2023-07-23 16:58:43</green> | <green>Finish</green> <yellow>nbqa</yellow> 23-07-11T15_multi_bubble.ipynb
<green>2023-07-23 16:58:43</green> | <yellow>Start </yellow> <magenta>nb-clean</magenta> 23-07-11T15_multi_bubble.ipynb
<green>2023-07-23 16:58:43</green> | <green>Finish</green> <yellow>nbqa</yellow> 23-07-11T16_broader_search.ipynb
<green>2023-07-23 16:58:43</green> | <yellow>Start </yellow> <magenta>nb-clean</magenta> 23-07-11T16_broader_search.ipynb
<green>2023-07-23 16:58:44</green> | <green>Finish</green> <yellow>nbqa</yellow> 23-07-11T12_single_bubble.ipynb
<green>2023-07-23 16:58:44</green> | <yellow>Start </yellow> <magenta>nb-clean</magenta> 23-07-11T12_single_bubble.ipynb
<green>2023-07-23 16:58:44</green> | <green>Finish</green> <magenta>nb-clean</magenta> proposed_plot.ipynb
<green>2023-07-23 16:58:44</green> | <yellow>Start </yellow> <cyan>jupyter-nbconvert</cyan> md
<green>2023-07-23 16:58:44</green> | <green>Finish</green> <magenta>nb-clean</magenta> 23-07-13T14_full_frame.ipynb
<green>2023-07-23 16:58:44</green> | <yellow>Start </yellow> <cyan>jupyter-nbconvert</cyan> md
<green>2023-07-23 16:58:44</green> | <green>Finish</green> <magenta>nb-clean</magenta> 23-07-11T15_multi_bubble.ipynb
<green>2023-07-23 16:58:44</green> | <yellow>Start </yellow> <cyan>jupyter-nbconvert</cyan> md
<green>2023-07-23 16:58:44</green> | <green>Finish</green> <yellow>nbqa</yellow> 23-07-13T14_full_video.ipynb
<green>2023-07-23 16:58:44</green> | <yellow>Start </yellow> <magenta>nb-clean</magenta> 23-07-13T14_full_video.ipynb
<green>2023-07-23 16:58:44</green> | <green>Finish</green> <magenta>nb-clean</magenta> 23-07-11T16_broader_search.ipynb
<green>2023-07-23 16:58:44</green> | <yellow>Start </yellow> <cyan>jupyter-nbconvert</cyan> md
<green>2023-07-23 16:58:45</green> | <green>Finish</green> <magenta>nb-clean</magenta> 23-07-11T12_single_bubble.ipynb
<green>2023-07-23 16:58:45</green> | <yellow>Start </yellow> <cyan>jupyter-nbconvert</cyan> md
<green>2023-07-23 16:58:45</green> | <green>Finish</green> <magenta>nb-clean</magenta> 23-07-13T14_full_video.ipynb
<green>2023-07-23 16:58:45</green> | <yellow>Start </yellow> <cyan>jupyter-nbconvert</cyan> md
<green>2023-07-23 16:58:48</green> | <green>Finish</green> <cyan>jupyter-nbconvert</cyan> md: [NbConvertApp] Converting note...
<green>2023-07-23 16:58:48</green> | <yellow>Start </yellow> <cyan>jupyter-nbconvert</cyan> boilercv
<green>2023-07-23 16:58:48</green> | <green>Finish</green> <cyan>jupyter-nbconvert</cyan> md: [NbConvertApp] Converting note...
<green>2023-07-23 16:58:48</green> | <yellow>Start </yellow> <cyan>jupyter-nbconvert</cyan> boilercv
<green>2023-07-23 16:58:48</green> | <green>Finish</green> <cyan>jupyter-nbconvert</cyan> md: [NbConvertApp] Converting note...
<green>2023-07-23 16:58:48</green> | <yellow>Start </yellow> <cyan>jupyter-nbconvert</cyan> boilercv
<green>2023-07-23 16:58:49</green> | <green>Finish</green> <cyan>jupyter-nbconvert</cyan> md: [NbConvertApp] Converting note...
<green>2023-07-23 16:58:49</green> | <yellow>Start </yellow> <cyan>jupyter-nbconvert</cyan> boilercv
<green>2023-07-23 16:58:49</green> | <green>Finish</green> <cyan>jupyter-nbconvert</cyan> md: [NbConvertApp] Converting note...
<green>2023-07-23 16:58:49</green> | <yellow>Start </yellow> <cyan>jupyter-nbconvert</cyan> boilercv
<green>2023-07-23 16:58:50</green> | <green>Finish</green> <cyan>jupyter-nbconvert</cyan> md: [NbConvertApp] Converting note...
<green>2023-07-23 16:58:50</green> | <yellow>Start </yellow> <cyan>jupyter-nbconvert</cyan> boilercv
<green>2023-07-23 16:58:53</green> | <green>Finish</green> <cyan>jupyter-nbconvert</cyan> boilercv: [NbConvertApp] Converting note...
<green>2023-07-23 16:58:53</green> | <yellow>Start </yellow> <blue>pandoc</blue> 23-07-11T16_broader_search.md
<green>2023-07-23 16:58:53</green> | <green>Finish</green> <cyan>jupyter-nbconvert</cyan> boilercv: [NbConvertApp] Converting note...
<green>2023-07-23 16:58:53</green> | <yellow>Start </yellow> <blue>pandoc</blue> 23-07-11T15_multi_bubble.md
<green>2023-07-23 16:58:53</green> | <green>Finish</green> <cyan>jupyter-nbconvert</cyan> boilercv: [NbConvertApp] Converting note...
<green>2023-07-23 16:58:53</green> | <yellow>Start </yellow> <blue>pandoc</blue> proposed_plot.md
<green>2023-07-23 16:58:53</green> | <green>Finish</green> <blue>pandoc</blue> proposed_plot.md: zotero-live-citations f47be20...
<green>2023-07-23 16:58:53</green> | <green>Finish</green> <blue>pandoc</blue> 23-07-11T16_broader_search.md: zotero-live-citations f47be20...
<green>2023-07-23 16:58:53</green> | <green>Finish</green> <cyan>jupyter-nbconvert</cyan> boilercv: [NbConvertApp] Converting note...
<green>2023-07-23 16:58:53</green> | <yellow>Start </yellow> <blue>pandoc</blue> 23-07-13T14_full_frame.md
<green>2023-07-23 16:58:53</green> | <green>Finish</green> <blue>pandoc</blue> 23-07-11T15_multi_bubble.md: zotero-live-citations f47be20...
<green>2023-07-23 16:58:54</green> | <green>Finish</green> <cyan>jupyter-nbconvert</cyan> boilercv: [NbConvertApp] Converting note...
<green>2023-07-23 16:58:54</green> | <yellow>Start </yellow> <blue>pandoc</blue> 23-07-11T12_single_bubble.md
<green>2023-07-23 16:58:54</green> | <green>Finish</green> <blue>pandoc</blue> 23-07-13T14_full_frame.md: zotero-live-citations f47be20...
<green>2023-07-23 16:58:54</green> | <green>Finish</green> <blue>pandoc</blue> 23-07-11T12_single_bubble.md: zotero-live-citations f47be20...
<green>2023-07-23 16:58:55</green> | <green>Finish</green> <cyan>jupyter-nbconvert</cyan> boilercv: [NbConvertApp] Converting note...
<green>2023-07-23 16:58:55</green> | <yellow>Start </yellow> <blue>pandoc</blue> 23-07-13T14_full_video.md
<green>2023-07-23 16:58:55</green> | <green>Finish</green> <blue>pandoc</blue> 23-07-13T14_full_video.md: zotero-live-citations f47be20...
<green>2023-07-23 16:58:56</green> | <green>FINISH</green> pre_repro
