<green>2023-07-23 16:58:01</green> | <yellow>START</yellow> pre_repro
<green>2023-07-23 16:58:01</green> | <yellow>START</yellow> CLEAN
<green>2023-07-23 16:58:01</green> |     <yellow>Start </yellow> <yellow>nbqa</yellow> proposed_plot.ipynb
<green>2023-07-23 16:58:01</green> |     <yellow>Start </yellow> <yellow>nbqa</yellow> 23-07-11T12_single_bubble.ipynb
<green>2023-07-23 16:58:01</green> |     <yellow>Start </yellow> <yellow>nbqa</yellow> 23-07-11T15_multi_bubble.ipynb
<green>2023-07-23 16:58:01</green> |     <yellow>Start </yellow> <yellow>nbqa</yellow> 23-07-11T16_broader_search.ipynb
<green>2023-07-23 16:58:01</green> |     <yellow>Start </yellow> <yellow>nbqa</yellow> 23-07-13T14_full_frame.ipynb
<green>2023-07-23 16:58:01</green> |     <yellow>Start </yellow> <yellow>nbqa</yellow> 23-07-13T14_full_video.ipynb
<green>2023-07-23 16:58:03</green> |     <green>Finish</green> <yellow>nbqa</yellow> 23-07-11T12_single_bubble.ipynb: All done! \u2728 \U0001f370 \u...
<green>2023-07-23 16:58:03</green> |     <yellow>Start </yellow> <yellow>nbqa</yellow> 23-07-11T12_single_bubble.ipynb
<green>2023-07-23 16:58:03</green> |     <green>Finish</green> <yellow>nbqa</yellow> proposed_plot.ipynb: All done! \u2728 \U0001f370 \u...
<green>2023-07-23 16:58:03</green> |     <yellow>Start </yellow> <yellow>nbqa</yellow> proposed_plot.ipynb
<green>2023-07-23 16:58:03</green> |     <green>Finish</green> <yellow>nbqa</yellow> 23-07-11T16_broader_search.ipynb: All done! \u2728 \U0001f370 \u...
<green>2023-07-23 16:58:03</green> |     <yellow>Start </yellow> <yellow>nbqa</yellow> 23-07-11T16_broader_search.ipynb
<green>2023-07-23 16:58:03</green> |     <green>Finish</green> <yellow>nbqa</yellow> 23-07-13T14_full_frame.ipynb: All done! \u2728 \U0001f370 \u...
<green>2023-07-23 16:58:03</green> |     <yellow>Start </yellow> <yellow>nbqa</yellow> 23-07-13T14_full_frame.ipynb
<green>2023-07-23 16:58:03</green> |     <green>Finish</green> <yellow>nbqa</yellow> 23-07-13T14_full_video.ipynb: All done! \u2728 \U0001f370 \u...
<green>2023-07-23 16:58:03</green> |     <yellow>Start </yellow> <yellow>nbqa</yellow> 23-07-13T14_full_video.ipynb
<green>2023-07-23 16:58:04</green> |     <green>Finish</green> <yellow>nbqa</yellow> 23-07-11T15_multi_bubble.ipynb: All done! \u2728 \U0001f370 \u...
<green>2023-07-23 16:58:04</green> |     <yellow>Start </yellow> <yellow>nbqa</yellow> 23-07-11T15_multi_bubble.ipynb
<green>2023-07-23 16:58:05</green> |     <green>Finish</green> <yellow>nbqa</yellow> 23-07-11T12_single_bubble.ipynb
<green>2023-07-23 16:58:05</green> |     <yellow>Start </yellow> <magenta>nb-clean</magenta> 23-07-11T12_single_bubble.ipynb
<green>2023-07-23 16:58:05</green> |     <green>Finish</green> <yellow>nbqa</yellow> 23-07-13T14_full_frame.ipynb
<green>2023-07-23 16:58:05</green> |     <yellow>Start </yellow> <magenta>nb-clean</magenta> 23-07-13T14_full_frame.ipynb
<green>2023-07-23 16:58:05</green> |     <green>Finish</green> <yellow>nbqa</yellow> proposed_plot.ipynb
<green>2023-07-23 16:58:05</green> |     <yellow>Start </yellow> <magenta>nb-clean</magenta> proposed_plot.ipynb
<green>2023-07-23 16:58:05</green> |     <green>Finish</green> <yellow>nbqa</yellow> 23-07-11T16_broader_search.ipynb
<green>2023-07-23 16:58:05</green> |     <yellow>Start </yellow> <magenta>nb-clean</magenta> 23-07-11T16_broader_search.ipynb
<green>2023-07-23 16:58:05</green> |     <green>Finish</green> <yellow>nbqa</yellow> 23-07-13T14_full_video.ipynb
<green>2023-07-23 16:58:05</green> |     <yellow>Start </yellow> <magenta>nb-clean</magenta> 23-07-13T14_full_video.ipynb
<green>2023-07-23 16:58:06</green> |     <green>Finish</green> <magenta>nb-clean</magenta> 23-07-11T12_single_bubble.ipynb
<green>2023-07-23 16:58:06</green> |     <green>Finish</green> <magenta>nb-clean</magenta> 23-07-11T16_broader_search.ipynb
<green>2023-07-23 16:58:06</green> |     <green>Finish</green> <magenta>nb-clean</magenta> 23-07-13T14_full_frame.ipynb
